FechaObservacion,Departamento,ValorObservado
2005-07-16,LA GUAJIRA,0.0
2005-07-16,MAGDALENA,0.1
2005-07-17,ANTIOQUIA,1.1
2005-07-17,LA GUAJIRA,0.0
2005-07-17,MAGDALENA,0.0
2005-07-18,ANTIOQUIA,0.0
2005-07-18,LA GUAJIRA,0.0
2005-07-18,MAGDALENA,0.0
2005-07-19,ANTIOQUIA,0.0
2005-07-19,LA GUAJIRA,0.0
2005-07-19,MAGDALENA,0.2
2005-07-20,ANTIOQUIA,0.0
2005-07-20,LA GUAJIRA,0.0
2005-07-20,MAGDALENA,3.3000000000000007
2005-07-21,ANTIOQUIA,0.0
2005-07-21,LA GUAJIRA,0.0
2005-07-21,MAGDALENA,3.4000000000000004
2005-07-22,ANTIOQUIA,0.0
2005-07-22,LA GUAJIRA,0.0
2005-07-22,MAGDALENA,0.2
2005-07-23,ANTIOQUIA,0.0
2005-07-23,LA GUAJIRA,0.0
2005-07-23,MAGDALENA,0.0
2005-07-24,ANTIOQUIA,8.2
2005-07-24,LA GUAJIRA,0.0
2005-07-24,MAGDALENA,0.0
2005-07-25,ANTIOQUIA,0.2
2005-07-25,LA GUAJIRA,0.0
2005-07-25,MAGDALENA,0.1
2005-07-26,ANTIOQUIA,43.20000000000001
2005-07-26,LA GUAJIRA,0.0
2005-07-26,MAGDALENA,0.0
2005-07-27,ANTIOQUIA,0.1
2005-07-27,LA GUAJIRA,0.0
2005-07-27,MAGDALENA,0.0
2005-07-28,ANTIOQUIA,0.2
2005-07-28,LA GUAJIRA,0.0
2005-07-28,MAGDALENA,0.0
2005-07-29,ANTIOQUIA,0.0
2005-07-29,LA GUAJIRA,0.0
2005-07-29,MAGDALENA,0.0
2005-07-30,ANTIOQUIA,9.100000000000001
2005-07-30,LA GUAJIRA,0.0
2005-07-30,MAGDALENA,1.6000000000000003
2005-07-31,ANTIOQUIA,9.900000000000002
2005-07-31,LA GUAJIRA,0.0
2005-07-31,MAGDALENA,0.0
2005-08-01,ANTIOQUIA,0.7
2005-08-01,LA GUAJIRA,0.0
2005-08-01,MAGDALENA,0.0
2005-08-02,ANTIOQUIA,1.7000000000000002
2005-08-02,LA GUAJIRA,0.0
2005-08-02,MAGDALENA,0.0
2005-08-03,ANTIOQUIA,5.1
2005-08-03,LA GUAJIRA,0.0
2005-08-03,MAGDALENA,0.0
2005-08-04,ANTIOQUIA,0.7999999999999999
2005-08-04,LA GUAJIRA,0.0
2005-08-04,MAGDALENA,0.0
2005-08-05,ANTIOQUIA,0.0
2005-08-05,LA GUAJIRA,0.0
2005-08-05,MAGDALENA,16.4
2005-08-06,ANTIOQUIA,2.2
2005-08-06,LA GUAJIRA,0.0
2005-08-06,MAGDALENA,0.1
2005-08-07,ANTIOQUIA,0.0
2005-08-07,LA GUAJIRA,0.0
2005-08-07,MAGDALENA,0.0
2005-08-08,ANTIOQUIA,0.0
2005-08-08,LA GUAJIRA,0.0
2005-08-08,MAGDALENA,0.0
2005-08-09,ANTIOQUIA,0.0
2005-08-09,LA GUAJIRA,0.0
2005-08-09,MAGDALENA,0.0
2005-08-10,ANTIOQUIA,0.0
2005-08-10,LA GUAJIRA,0.0
2005-08-10,MAGDALENA,0.0
2005-08-11,ANTIOQUIA,0.0
2005-08-11,LA GUAJIRA,0.0
2005-08-11,MAGDALENA,0.0
2005-08-12,ANTIOQUIA,0.30000000000000004
2005-08-12,LA GUAJIRA,0.0
2005-08-12,MAGDALENA,0.0
2005-08-13,ANTIOQUIA,0.2
2005-08-13,LA GUAJIRA,0.0
2005-08-13,MAGDALENA,8.999999999999998
2005-08-14,ANTIOQUIA,0.0
